week,new_users,cumulative_users
201301,26,26
201302,29,55
201303,47,102
201304,36,138
201305,30,168
201306,48,216
201307,41,257
201308,39,296
201309,33,329
201310,43,372
201311,33,405
201312,32,437
201313,33,470
201314,40,510
201315,35,545
201316,42,587
201317,48,635
201318,48,683
201319,45,728
201320,55,783
201321,41,824
201322,49,873
201323,51,924
201324,51,975
201325,46,1021
201326,57,1078
201327,57,1135
201328,52,1187
201329,71,1258
201330,66,1324
201331,69,1393
201332,66,1459
201333,73,1532
201334,71,1603
201335,79,1682
201336,65,1747
201337,71,1818
201338,84,1902
201339,92,1994
201340,81,2075
201341,88,2163
201342,74,2237
201343,97,2334
201344,92,2426
201345,97,2523
201346,94,2617
201347,82,2699
201348,103,2802
201349,96,2898
201350,117,3015
201351,123,3138
201352,104,3242
201401,132,3374
201402,122,3496
201403,112,3608
201404,113,3721
201405,130,3851
201406,132,3983
201407,135,4118
201408,127,4245
201409,127,4372
201410,135,4507
201411,152,4659
201412,132,4791
201413,151,4942
201414,161,5103
201415,166,5269
201416,165,5434
201417,176,5610
201418,172,5782
201419,160,5942
201420,186,6128
201421,177,6305
201422,186,6491
201423,197,6688
201424,198,6886
201425,222,7108
201426,210,7318
201427,199,7517
201428,223,7740
201429,215,7955
201430,228,8183
201431,234,8417
201432,189,8606
201433,250,8856
201434,259,9115
201435,266,9381
