cohort_week,activity_week,retained_users
201301,201418,2
201301,201419,3
201301,201420,3
201301,201421,3
201301,201422,2
201301,201423,4
201301,201424,3
201301,201425,6
201301,201426,4
201301,201427,2
201301,201428,3
201301,201429,1
201301,201431,3
201301,201432,2
201301,201433,2
201301,201434,2
201301,201435,2
201302,201418,1
201302,201419,2
201302,201420,3
201302,201421,1
201302,201422,2
201302,201423,4
201302,201424,3
201302,201425,6
201302,201426,4
201302,201427,3
201302,201428,1
201302,201429,2
201302,201430,3
201302,201431,2
201302,201432,4
201302,201433,4
201302,201434,4
201302,201435,2
201303,201418,2
201303,201419,4
201303,201420,5
201303,201421,7
201303,201422,7
201303,201423,8
201303,201424,5
201303,201425,5
201303,201426,1
201303,201427,2
201303,201428,4
201303,201429,4
201303,201430,3
201303,201431,2
201303,201432,3
201303,201434,4
201303,201435,5
201304,201418,4
201304,201419,6
201304,201420,7
201304,201421,6
201304,201422,6
201304,201423,7
201304,201424,6
201304,201425,6
201304,201426,6
201304,201427,3
201304,201428,4
201304,201429,6
201304,201430,7
201304,201431,4
201304,201432,3
201304,201433,1
201304,201434,2
201304,201435,4
201305,201418,2
201305,201419,3
201305,201420,5
201305,201421,4
201305,201422,5
201305,201423,6
201305,201424,5
201305,201425,4
201305,201426,8
201305,201427,3
201305,201428,7
201305,201429,5
201305,201430,4
201305,201431,5
201305,201432,5
201305,201433,3
201305,201434,2
201306,201418,4
201306,201419,7
201306,201420,8
201306,201421,6
201306,201422,6
201306,201423,7
201306,201424,6
201306,201425,7
201306,201426,9
201306,201427,6
201306,201428,9
201306,201429,7
201306,201430,9
201306,201431,10
201306,201432,7
201306,201433,6
201306,201434,6
201306,201435,4
201307,201418,2
201307,201419,5
201307,201420,3
201307,201421,4
201307,201422,5
201307,201423,6
201307,201424,5
201307,201425,4
201307,201426,5
201307,201427,4
201307,201428,4
201307,201429,6
201307,201430,5
201307,201431,6
201307,201432,3
201307,201433,1
201307,201435,3
201308,201418,3
201308,201419,9
201308,201420,6
201308,201421,7
201308,201422,8
201308,201423,6
201308,201424,6
201308,201425,8
201308,201426,9
201308,201427,10
201308,201428,11
201308,201429,12
201308,201430,9
201308,201431,5
201308,201432,5
201308,201433,3
201308,201434,1
201308,201435,2
201309,201418,1
201309,201419,1
201309,201420,3
201309,201421,2
201309,201422,1
201309,201423,2
201309,201424,4
201309,201425,5
201309,201426,4
201309,201427,5
201309,201428,2
201309,201429,5
201309,201430,4
201309,201431,5
201309,201432,4
201309,201433,2
201309,201434,3
201309,201435,2
201310,201418,5
201310,201419,7
201310,201420,5
201310,201421,8
201310,201422,8
201310,201423,8
201310,201424,8
201310,201425,9
201310,201426,5
201310,201427,6
201310,201428,4
201310,201429,6
201310,201430,5
201310,201431,6
201310,201432,3
201310,201433,2
201310,201434,3
201310,201435,3
201311,201418,2
201311,201419,3
201311,201420,6
201311,201421,5
201311,201422,5
201311,201423,5
201311,201424,4
201311,201425,6
201311,201426,5
201311,201427,7
201311,201428,9
201311,201429,5
201311,201430,3
201311,201431,7
201311,201432,3
201311,201433,2
201311,201434,3
201311,201435,1
201312,201418,5
201312,201419,4
201312,201420,5
201312,201421,3
201312,201422,6
201312,201423,3
201312,201424,4
201312,201425,4
201312,201426,3
201312,201427,5
201312,201428,4
201312,201429,4
201312,201430,4
201312,201431,7
201312,201432,6
201312,201433,4
201312,201434,4
201312,201435,4
201313,201418,3
201313,201419,4
201313,201420,2
201313,201421,2
201313,201422,4
201313,201423,7
201313,201424,4
201313,201425,5
201313,201426,3
201313,201427,4
201313,201428,4
201313,201429,5
201313,201430,3
201313,201431,4
201313,201432,4
201313,201433,2
201313,201434,1
201313,201435,2
201314,201418,2
201314,201419,4
201314,201420,5
201314,201421,5
201314,201422,4
201314,201423,3
201314,201424,2
201314,201425,3
201314,201426,3
201314,201427,5
201314,201428,7
201314,201429,7
201314,201430,8
201314,201431,10
201314,201432,7
201314,201433,2
201314,201434,3
201314,201435,3
201315,201418,3
201315,201419,4
201315,201420,5
201315,201421,5
201315,201422,2
201315,201423,5
201315,201424,5
201315,201425,5
201315,201426,5
201315,201427,1
201315,201428,1
201315,201429,4
201315,201430,5
201315,201431,6
201315,201432,5
201315,201433,5
201315,201434,6
201315,201435,3
201316,201418,4
201316,201419,5
201316,201420,4
201316,201421,6
201316,201422,5
201316,201423,7
201316,201424,5
201316,201425,7
201316,201426,4
201316,201427,5
201316,201428,7
201316,201429,6
201316,201430,8
201316,201431,8
201316,201432,4
201316,201433,8
201316,201434,7
201316,201435,4
201317,201418,6
201317,201419,7
201317,201420,10
201317,201421,8
201317,201422,11
201317,201423,8
201317,201424,8
201317,201425,8
201317,201426,9
201317,201427,9
201317,201428,10
201317,201429,11
201317,201430,10
201317,201431,8
201317,201432,5
201317,201433,5
201317,201434,5
201317,201435,5
201318,201418,3
201318,201419,6
201318,201420,8
201318,201421,9
201318,201422,6
201318,201423,6
201318,201424,9
201318,201425,9
201318,201426,7
201318,201427,9
201318,201428,8
201318,201429,7
201318,201430,10
201318,201431,7
201318,201432,5
201318,201433,6
201318,201434,9
201318,201435,8
201319,201418,6
201319,201419,8
201319,201420,7
201319,201421,11
201319,201422,7
201319,201423,7
201319,201424,10
201319,201425,7
201319,201426,6
201319,201427,5
201319,201428,10
201319,201429,8
201319,201430,9
201319,201431,7
201319,201432,8
201319,201433,6
201319,201434,3
201319,201435,2
201320,201418,3
201320,201419,6
201320,201420,9
201320,201421,8
201320,201422,6
201320,201423,5
201320,201424,8
201320,201425,6
201320,201426,5
201320,201427,8
201320,201428,6
201320,201429,10
201320,201430,7
201320,201431,6
201320,201432,6
201320,201433,6
201320,201434,3
201320,201435,4
201321,201418,3
201321,201419,5
201321,201420,5
201321,201421,3
201321,201422,3
201321,201423,2
201321,201426,4
201321,201427,4
201321,201428,5
201321,201429,5
201321,201430,2
201321,201431,3
201321,201432,1
201321,201433,2
201321,201434,3
201321,201435,3
201322,201418,2
201322,201419,4
201322,201420,3
201322,201421,3
201322,201422,3
201322,201423,2
201322,201424,2
201322,201425,1
201322,201426,2
201322,201427,3
201322,201428,3
201322,201429,1
201322,201430,1
201322,201431,2
201322,201432,1
201322,201433,1
201322,201434,2
201322,201435,3
201323,201418,3
201323,201419,4
201323,201420,3
201323,201421,5
201323,201422,2
201323,201423,2
201323,201424,3
201323,201425,4
201323,201426,4
201323,201427,7
201323,201428,3
201323,201429,9
201323,201430,5
201323,201431,8
201323,201432,6
201323,201433,3
201323,201434,4
201323,201435,5
201324,201418,8
201324,201419,5
201324,201420,6
201324,201421,6
201324,201422,5
201324,201423,6
201324,201424,2
201324,201425,5
201324,201426,3
201324,201427,2
201324,201428,3
201324,201429,5
201324,201430,5
201324,201431,7
201324,201432,1
201324,201433,5
201324,201434,2
201324,201435,6
201325,201418,3
201325,201419,4
201325,201420,5
201325,201421,4
201325,201422,5
201325,201423,4
201325,201424,5
201325,201425,5
201325,201426,6
201325,201427,10
201325,201428,9
201325,201429,9
201325,201430,7
201325,201431,2
201325,201432,2
201325,201433,2
201325,201434,4
201325,201435,4
201326,201418,5
201326,201419,8
201326,201420,10
201326,201421,5
201326,201422,5
201326,201423,4
201326,201424,4
201326,201425,4
201326,201426,6
201326,201427,6
201326,201428,9
201326,201429,7
201326,201430,7
201326,201431,7
201326,201432,8
201326,201433,3
201326,201434,4
201326,201435,7
201327,201418,3
201327,201419,5
201327,201420,9
201327,201421,7
201327,201422,6
201327,201423,5
201327,201424,6
201327,201425,8
201327,201426,5
201327,201427,4
201327,201428,5
201327,201429,6
201327,201430,4
201327,201431,4
201327,201432,4
201327,201433,4
201327,201434,4
201327,201435,4
201328,201418,1
201328,201419,7
201328,201420,7
201328,201421,6
201328,201422,4
201328,201423,3
201328,201424,4
201328,201425,4
201328,201426,4
201328,201427,2
201328,201428,6
201328,201429,5
201328,201430,6
201328,201431,7
201328,201432,4
201328,201433,5
201328,201434,2
201328,201435,2
201329,201418,6
201329,201419,9
201329,201420,8
201329,201421,8
201329,201422,10
201329,201423,10
201329,201424,5
201329,201425,6
201329,201426,10
201329,201427,8
201329,201428,9
201329,201429,8
201329,201430,6
201329,201431,6
201329,201432,8
201329,201433,7
201329,201434,4
201329,201435,5
201330,201418,7
201330,201419,10
201330,201420,12
201330,201421,10
201330,201422,10
201330,201423,12
201330,201424,12
201330,201425,11
201330,201426,10
201330,201427,8
201330,201428,10
201330,201429,7
201330,201430,10
201330,201431,9
201330,201432,4
201330,201433,1
201330,201434,3
201330,201435,4
201331,201418,9
201331,201419,8
201331,201420,7
201331,201421,7
201331,201422,6
201331,201423,7
201331,201424,12
201331,201425,9
201331,201426,10
201331,201427,10
201331,201428,11
201331,201429,7
201331,201430,7
201331,201431,7
201331,201432,5
201331,201433,7
201331,201434,7
201331,201435,5
201332,201418,8
201332,201419,12
201332,201420,11
201332,201421,12
201332,201422,9
201332,201423,6
201332,201424,8
201332,201425,11
201332,201426,9
201332,201427,8
201332,201428,3
201332,201429,3
201332,201430,5
201332,201431,4
201332,201432,6
201332,201433,7
201332,201434,9
201332,201435,7
201333,201418,10
201333,201419,14
201333,201420,7
201333,201421,7
201333,201422,8
201333,201423,4
201333,201424,6
201333,201425,13
201333,201426,11
201333,201427,9
201333,201428,7
201333,201429,6
201333,201430,7
201333,201431,4
201333,201432,2
201333,201433,4
201333,201434,1
201333,201435,4
201334,201418,6
201334,201419,12
201334,201420,13
201334,201421,12
201334,201422,10
201334,201423,9
201334,201424,5
201334,201425,13
201334,201426,10
201334,201427,15
201334,201428,10
201334,201429,9
201334,201430,12
201334,201431,15
201334,201432,12
201334,201433,11
201334,201434,7
201334,201435,12
201335,201418,7
201335,201419,8
201335,201420,10
201335,201421,7
201335,201422,7
201335,201423,12
201335,201424,10
201335,201425,13
201335,201426,11
201335,201427,11
201335,201428,13
201335,201429,13
201335,201430,8
201335,201431,10
201335,201432,9
201335,201433,6
201335,201434,4
201335,201435,2
201336,201418,2
201336,201419,5
201336,201420,6
201336,201421,8
201336,201422,8
201336,201423,7
201336,201424,8
201336,201425,6
201336,201426,5
201336,201427,9
201336,201428,9
201336,201429,7
201336,201430,6
201336,201431,7
201336,201432,5
201336,201433,5
201336,201434,5
201336,201435,6
201337,201418,6
201337,201419,8
201337,201420,14
201337,201421,10
201337,201422,11
201337,201423,10
201337,201424,9
201337,201425,8
201337,201426,8
201337,201427,8
201337,201428,7
201337,201429,10
201337,201430,10
201337,201431,9
201337,201432,11
201337,201433,9
201337,201434,7
201337,201435,7
201338,201418,5
201338,201419,7
201338,201420,5
201338,201421,9
201338,201422,5
201338,201423,10
201338,201424,11
201338,201425,11
201338,201426,10
201338,201427,7
201338,201428,6
201338,201429,5
201338,201430,9
201338,201431,4
201338,201432,5
201338,201433,2
201338,201434,2
201338,201435,5
201339,201418,6
201339,201419,12
201339,201420,8
201339,201421,8
201339,201422,9
201339,201423,7
201339,201424,11
201339,201425,8
201339,201426,14
201339,201427,9
201339,201428,11
201339,201429,12
201339,201430,10
201339,201431,6
201339,201432,6
201339,201433,5
201339,201434,5
201339,201435,4
201340,201418,4
201340,201419,6
201340,201420,6
201340,201421,11
201340,201422,9
201340,201423,12
201340,201424,13
201340,201425,10
201340,201426,7
201340,201427,10
201340,201428,5
201340,201429,11
201340,201430,9
201340,201431,10
201340,201432,6
201340,201433,5
201340,201434,7
201340,201435,7
201341,201418,8
201341,201419,9
201341,201420,8
201341,201421,9
201341,201422,8
201341,201423,7
201341,201424,11
201341,201425,12
201341,201426,11
201341,201427,10
201341,201428,6
201341,201429,9
201341,201430,12
201341,201431,14
201341,201432,12
201341,201433,9
201341,201434,7
201341,201435,5
201342,201418,6
201342,201419,9
201342,201420,9
201342,201421,9
201342,201422,8
201342,201423,9
201342,201424,7
201342,201425,7
201342,201426,5
201342,201427,5
201342,201428,6
201342,201429,6
201342,201430,6
201342,201431,6
201342,201432,4
201342,201433,3
201342,201434,3
201342,201435,4
201343,201418,6
201343,201419,10
201343,201420,11
201343,201421,13
201343,201422,9
201343,201423,9
201343,201424,11
201343,201425,10
201343,201426,8
201343,201427,8
201343,201428,6
201343,201429,3
201343,201430,8
201343,201431,9
201343,201432,10
201343,201433,9
201343,201434,9
201343,201435,7
201344,201418,8
201344,201419,11
201344,201420,13
201344,201421,13
201344,201422,14
201344,201423,16
201344,201424,16
201344,201425,9
201344,201426,12
201344,201427,10
201344,201428,8
201344,201429,8
201344,201430,10
201344,201431,12
201344,201432,8
201344,201433,5
201344,201434,6
201344,201435,7
201345,201418,9
201345,201419,15
201345,201420,10
201345,201421,5
201345,201422,4
201345,201423,13
201345,201424,11
201345,201425,13
201345,201426,9
201345,201427,14
201345,201428,12
201345,201429,12
201345,201430,10
201345,201431,13
201345,201432,11
201345,201433,11
201345,201434,8
201345,201435,3
201346,201418,4
201346,201419,13
201346,201420,18
201346,201421,12
201346,201422,8
201346,201423,13
201346,201424,14
201346,201425,13
201346,201426,10
201346,201427,13
201346,201428,12
201346,201429,9
201346,201430,7
201346,201431,8
201346,201432,5
201346,201433,5
201346,201434,13
201346,201435,12
201347,201418,3
201347,201419,5
201347,201420,6
201347,201421,7
201347,201422,6
201347,201423,6
201347,201424,11
201347,201425,9
201347,201426,7
201347,201427,8
201347,201428,8
