week,device,active_users
201418,"macbook pro",154
201418,"lenovo thinkpad",90
201418,"iphone 5",70
201418,"macbook air",57
201418,"samsung galaxy s4",56
201418,"dell inspiron notebook",49
201418,"iphone 5s",45
201418,"nexus 5",43
201418,"ipad air",30
201418,"asus chromebook",23
201418,"acer aspire notebook",21
201418,"dell inspiron desktop",21
201418,"ipad mini",21
201418,"iphone 4s",21
201418,"nexus 7",20
201418,"nokia lumia 635",19
201418,"htc one",16
201418,"nexus 10",16
201418,"hp pavilion desktop",15
201418,"acer aspire desktop",10
201418,"windows surface",10
201418,"mac mini",8
201418,"samsumg galaxy tablet",8
201418,"samsung galaxy note",7
201418,"kindle fire",6
201418,"amazon fire phone",4
201419,"macbook pro",248
201419,"lenovo thinkpad",155
201419,"macbook air",119
201419,"iphone 5",114
201419,"samsung galaxy s4",80
201419,"dell inspiron notebook",78
201419,"nexus 5",73
201419,"iphone 5s",70
201419,"dell inspiron desktop",58
201419,"ipad air",52
201419,"iphone 4s",47
201419,"asus chromebook",42
201419,"hp pavilion desktop",37
201419,"acer aspire notebook",34
201419,"nokia lumia 635",34
201419,"nexus 10",30
201419,"ipad mini",29
201419,"nexus 7",29
201419,"acer aspire desktop",26
201419,"kindle fire",26
201419,"htc one",19
201419,"samsung galaxy note",15
201419,"mac mini",12
201419,"samsumg galaxy tablet",11
201419,"windows surface",10
201419,"amazon fire phone",9
201420,"macbook pro",261
201420,"lenovo thinkpad",176
201420,"iphone 5",113
201420,"macbook air",110
201420,"samsung galaxy s4",90
201420,"nexus 5",84
201420,"dell inspiron notebook",82
201420,"iphone 5s",77
201420,"ipad air",53
201420,"nexus 7",41
201420,"acer aspire notebook",40
201420,"hp pavilion desktop",40
201420,"iphone 4s",40
201420,"ipad mini",37
201420,"dell inspiron desktop",36
201420,"htc one",32
201420,"asus chromebook",26
201420,"nexus 10",25
201420,"acer aspire desktop",22
201420,"nokia lumia 635",22
201420,"kindle fire",20
201420,"mac mini",19
201420,"windows surface",15
201420,"amazon fire phone",12
201420,"samsung galaxy note",11
201420,"samsumg galaxy tablet",6
201421,"macbook pro",256
201421,"lenovo thinkpad",177
201421,"iphone 5",128
201421,"macbook air",119
201421,"nexus 5",99
